1,0,20.5,60,1013.2
1,1,19.8,62,1013.1
1,2,19.3,64,1012.8
1,3,18.7,66,1012.5
1,4,18.2,68,1012.2
1,5,17.9,69,1012.1
1,6,17.6,71,1011.8
1,7,17.8,70,1011.9
1,8,18.1,68,1012.1
1,9,18.6,66,1012.4
1,10,19.2,64,1012.7
1,11,19.7,62,1012.9
1,12,20.3,60,1013.1
1,13,20.8,58,1013.3
1,14,21.2,56,1013.4
1,15,21.6,54,1013.5
1,16,21.9,53,1013.6
1,17,21.8,54,1013.5
1,18,21.5,56,1013.4
1,19,21.1,58,1013.2
1,20,20.7,60,1013.1
1,21,20.2,62,1013.0
1,22,19.7,64,1012.8
1,23,19.2,66,1012.6
2,0,18.7,68,1012.3
2,1,18.2,70,1012.1
2,2,17.8,72,1011.9
2,3,17.5,74,1011.7
2,4,17.2,75,1011.6
2,5,17.0,76,1011.5
2,6,16.9,77,1011.4
2,7,17.1,76,1011.5
2,8,17.4,74,1011.7
2,9,17.8,72,1011.9
2,10,18.2,70,1012.1
2,11,18.7,68,1012.3
2,12,19.1,66,1012.4
2,13,19.6,64,1012.6
2,14,20.0,62,1012.8
2,15,20.4,60,1012.9
2,16,20.6,59,1013.0
2,17,20.5,60,1012.9
2,18,20.2,62,1012.8
2,19,19.9,64,1012.7
2,20,19.5,66,1012.5
2,21,19.1,68,1012.3
2,22,18.7,70,1012.1
2,23,18.3,72,1011.9
